iter	Passed	Remaining
0	58	58218
1	58	29233
2	58	19558
3	59	14716
4	59	11814
5	59	9881
6	59	8498
7	60	7460
8	60	6656
9	60	6012
10	61	5484
11	61	5043
12	61	4671
13	61	4357
14	62	4079
15	62	3837
16	62	3623
17	63	3437
18	63	3268
19	63	3115
20	63	2975
21	64	2850
22	64	2739
23	64	2636
24	65	2541
25	65	2449
26	65	2365
27	65	2287
28	66	2213
29	66	2145
30	66	2082
31	66	2023
32	67	1967
33	67	1915
34	67	1865
35	67	1819
36	68	1776
37	68	1733
38	68	1693
39	68	1655
40	69	1618
41	69	1583
42	69	1550
43	69	1518
44	70	1488
45	70	1460
46	70	1433
47	70	1406
48	71	1382
49	71	1357
50	71	1334
51	71	1311
52	72	1289
53	72	1268
54	72	1248
55	72	1229
56	73	1210
57	73	1192
58	73	1175
59	73	1159
60	74	1143
61	74	1129
62	74	1114
63	75	1099
64	75	1085
65	75	1071
66	75	1058
67	76	1042
68	76	1029
69	76	1017
70	76	1005
71	77	993
72	77	981
73	77	970
74	77	960
75	78	949
76	78	939
77	78	929
78	78	919
79	79	910
80	79	900
81	79	891
82	79	882
83	80	874
84	80	864
85	80	856
86	80	847
87	80	839
88	81	831
89	81	824
90	81	817
91	82	809
92	82	802
93	82	795
94	82	788
95	83	782
96	83	775
97	83	769
98	83	762
99	84	756
100	84	750
101	84	743
102	84	737
103	84	731
104	85	725
105	85	720
106	85	714
107	85	709
108	86	704
109	86	699
110	86	694
111	86	688
112	87	684
113	87	679
114	87	674
115	87	670
116	88	666
117	88	662
118	88	657
119	89	654
120	89	650
121	89	646
122	89	640
123	90	636
124	90	632
125	90	628
126	90	624
127	91	619
128	91	616
129	91	612
130	91	608
131	92	605
132	92	601
133	92	598
134	92	594
135	93	590
136	93	587
137	93	583
138	93	580
139	93	577
140	94	573
141	94	571
142	94	568
143	95	565
144	95	562
145	95	559
146	95	556
147	96	553
148	96	550
149	96	547
150	96	544
151	97	541
152	97	538
153	97	536
154	97	533
155	98	530
156	98	528
157	98	525
158	98	522
159	99	520
160	99	517
161	99	515
162	99	512
163	100	510
164	100	508
165	100	506
166	101	503
167	101	501
168	101	499
169	101	496
170	102	494
171	102	492
172	102	489
173	102	487
174	102	485
175	103	483
176	103	480
177	103	478
178	103	476
179	104	474
180	104	471
181	104	469
182	104	467
183	104	465
184	105	463
185	105	461
186	105	459
187	105	457
188	106	455
189	106	453
190	106	451
191	106	449
192	107	447
193	107	446
194	107	444
195	107	442
196	108	440
197	108	438
198	108	437
199	108	435
200	109	433
201	109	431
202	109	430
203	109	428
204	109	426
205	110	424
206	110	423
207	110	421
208	110	419
209	111	418
210	111	416
211	111	415
212	111	413
213	112	412
214	112	410
215	112	408
216	112	407
217	113	405
218	113	404
219	113	402
220	113	401
221	114	399
222	114	398
223	114	396
224	114	395
225	115	394
226	115	392
227	115	391
228	115	389
229	116	388
230	116	386
231	116	385
232	116	384
233	116	382
234	117	381
235	117	380
236	117	379
237	118	377
238	118	376
239	118	375
240	118	373
241	118	372
242	119	371
243	119	369
244	119	368
245	119	367
246	120	366
247	120	364
248	120	363
249	120	362
250	121	361
251	121	359
252	121	358
253	121	357
254	122	356
255	122	355
256	122	353
257	122	352
258	122	351
259	123	350
260	123	349
261	123	348
262	123	347
263	124	345
264	124	344
265	124	343
266	124	342
267	124	341
268	125	340
269	125	339
270	125	338
271	125	336
272	126	335
273	126	334
274	126	333
275	126	332
276	127	331
277	127	330
278	127	329
279	127	328
280	128	327
281	128	326
282	128	325
283	128	324
284	128	323
285	129	322
